timestamp,cycle_time,throughput,robot_distance,idle_time,reward,status
1774800691.104341,0.0,35764325.2,0.0,0.0,N/A,Moving on Conveyor
1774800691.108781,0.0,792533.1,0.0,0.0,N/A,Moving on Conveyor
1774800691.1131554,0.01,403706.1,0.001,0.0,N/A,Moving on Conveyor
1774800691.117469,0.01,272091.4,0.001,0.0,N/A,Moving on Conveyor
1774800691.1217806,0.02,205214.2,0.002,0.0,N/A,Moving on Conveyor
1774800691.126077,0.02,164843.1,0.002,0.0,N/A,Moving on Conveyor
1774800691.130379,0.03,137714.8,0.003,0.0,N/A,Moving on Conveyor
1774800691.134679,0.03,118261.2,0.003,0.0,N/A,Moving on Conveyor
1774800691.138973,0.03,103642.5,0.003,0.0,N/A,Moving on Conveyor
1774800691.1432836,0.04,92199.8,0.003,0.0,N/A,Moving on Conveyor
1774800691.1475632,0.04,83092.9,0.003,0.0,N/A,Moving on Conveyor
1774800691.1518986,0.05,75534.4,0.003,0.0,N/A,Moving on Conveyor
1774800691.1562161,0.05,69259.9,0.003,0.0,N/A,Moving on Conveyor
1774800691.16053,0.06,63952.4,0.004,0.0,N/A,Moving on Conveyor
1774800691.1648362,0.06,59407.7,0.004,0.0,N/A,Moving on Conveyor
1774800691.169136,0.06,55471.6,0.004,0.0,N/A,Moving on Conveyor
1774800691.1734407,0.07,52021.3,0.004,0.0,N/A,Moving on Conveyor
1774800691.1777344,0.07,48982.0,0.005,0.0,N/A,Moving on Conveyor
1774800691.182025,0.08,46280.4,0.005,0.0,N/A,Moving on Conveyor
1774800691.1863232,0.08,43857.0,0.006,0.0,N/A,Moving on Conveyor
1774800691.1906075,0.09,41681.5,0.006,0.0,N/A,Assembly
1774800691.1948934,0.09,39710.8,0.007,0.0,N/A,Assembly
1774800691.1991794,0.09,37918.1,0.007,0.0,N/A,Assembly
1774800691.2035275,0.1,36257.8,0.008,0.0,N/A,Assembly
1774800691.207916,0.1,34723.4,0.008,0.0,N/A,Assembly
