timestamp,cycle_time,throughput,robot_distance,idle_time,reward,status
1774800696.7347016,0.0,3600000000.0,0.5,0.1,-0.26,AI Training
1774800696.7347693,0.1,35999.6,0.5,0.1,-0.26,AI Training
1774800696.7348065,0.2,17999.9,0.5,0.1,-0.26,AI Training
1774800696.7348375,0.3,12000.0,0.5,0.1,-0.26,AI Training
1774800696.7348678,0.4,9000.0,0.5,0.1,-0.26,AI Training
1774800696.734896,0.5,7200.0,0.5,0.1,-0.26,AI Training
1774800696.7349231,0.6,6000.0,0.5,0.1,-0.26,AI Training
1774800696.7349505,0.7,5142.8,0.5,0.1,-0.26,AI Training
1774800696.7349772,0.8,4500.0,0.5,0.1,-0.26,AI Training
1774800696.7350042,0.9,4000.0,0.5,0.1,-0.26,AI Training
1774800696.7350304,1.0,3600.0,0.5,0.1,-0.26,AI Training
1774800696.7350576,1.1,3272.7,0.5,0.1,-0.26,AI Training
1774800696.735084,1.2,3000.0,0.5,0.1,-0.26,AI Training
1774800696.7351096,1.3,2769.2,0.5,0.1,-0.26,AI Training
1774800696.7351344,1.4,2571.4,0.5,0.1,-0.26,AI Training
1774800696.7351599,1.5,2400.0,0.5,0.1,-0.26,AI Training
1774800696.735192,1.6,2250.0,0.5,0.1,-0.26,AI Training
1774800696.7352185,1.7,2117.6,0.5,0.1,-0.26,AI Training
1774800696.7352445,1.8,2000.0,0.5,0.1,-0.26,AI Training
1774800696.7352698,1.9,1894.7,0.5,0.1,-0.26,AI Training
1774800696.7352984,2.0,1800.0,0.5,0.1,-0.26,AI Training
1774800696.7353253,2.1,1714.3,0.5,0.1,-0.26,AI Training
1774800696.7353501,2.2,1636.4,0.5,0.1,-0.26,AI Training
1774800696.7353745,2.3,1565.2,0.5,0.1,-0.26,AI Training
1774800696.7353983,2.4,1500.0,0.5,0.1,-0.26,AI Training
1774800696.735423,2.5,1440.0,0.5,0.1,-0.26,AI Training
1774800696.7354493,2.6,1384.6,0.5,0.1,-0.26,AI Training
1774800696.7354746,2.7,1333.3,0.5,0.1,-0.26,AI Training
1774800696.7355077,2.8,1285.7,0.5,0.1,-0.26,AI Training
1774800696.7355363,2.9,1241.4,0.5,0.1,-0.26,AI Training
1774800696.735562,3.0,1200.0,0.5,0.1,-0.26,AI Training
1774800696.7355866,3.1,1161.3,0.5,0.1,-0.26,AI Training
1774800696.735611,3.2,1125.0,0.5,0.1,-0.26,AI Training
1774800696.7356362,3.3,1090.9,0.5,0.1,-0.26,AI Training
1774800696.7356653,3.4,1058.8,0.5,0.1,-0.26,AI Training
1774800696.7356946,3.5,1028.6,0.5,0.1,-0.26,AI Training
1774800696.7357194,3.6,1000.0,0.5,0.1,-0.26,AI Training
1774800696.7357438,3.7,973.0,0.5,0.1,-0.26,AI Training
1774800696.735768,3.8,947.4,0.5,0.1,-0.26,AI Training
1774800696.7357924,3.9,923.1,0.5,0.1,-0.26,AI Training
1774800696.7358165,4.0,900.0,0.5,0.1,-0.26,AI Training
1774800696.7358446,4.1,878.0,0.5,0.1,-0.26,AI Training
1774800696.7358696,4.2,857.1,0.5,0.1,-0.26,AI Training
1774800696.7358937,4.3,837.2,0.5,0.1,-0.26,AI Training
1774800696.735918,4.4,818.2,0.5,0.1,-0.26,AI Training
1774800696.7359421,4.5,800.0,0.5,0.1,-0.26,AI Training
1774800696.7359662,4.6,782.6,0.5,0.1,-0.26,AI Training
1774800696.7359903,4.7,766.0,0.5,0.1,-0.26,AI Training
1774800696.736019,4.8,750.0,0.5,0.1,-0.26,AI Training
1774800696.7360446,4.9,734.7,0.5,0.1,-0.26,AI Training
1774800696.7360682,5.0,720.0,0.5,0.1,-0.26,AI Training
1774800696.7360923,5.1,705.9,0.5,0.1,-0.26,AI Training
1774800696.736116,5.2,692.3,0.5,0.1,-0.26,AI Training
1774800696.73614,5.3,679.2,0.5,0.1,-0.26,AI Training
1774800696.7361634,5.4,666.7,0.5,0.1,-0.26,AI Training
1774800696.7361917,5.5,654.5,0.5,0.1,-0.26,AI Training
1774800696.736216,5.6,642.9,0.5,0.1,-0.26,AI Training
1774800696.7362416,5.7,631.6,0.5,0.1,-0.26,AI Training
1774800696.7362669,5.8,620.7,0.5,0.1,-0.26,AI Training
1774800696.7362912,5.9,610.2,0.5,0.1,-0.26,AI Training
1774800696.7363153,6.0,600.0,0.5,0.1,-0.26,AI Training
1774800696.7363398,6.1,590.2,0.5,0.1,-0.26,AI Training
1774800696.736368,6.2,580.6,0.5,0.1,-0.26,AI Training
1774800696.736394,6.3,571.4,0.5,0.1,-0.26,AI Training
1774800696.7364187,6.4,562.5,0.5,0.1,-0.26,AI Training
1774800696.7364433,6.5,553.8,0.5,0.1,-0.26,AI Training
1774800696.7364674,6.6,545.5,0.5,0.1,-0.26,AI Training
1774800696.7364917,6.7,537.3,0.5,0.1,-0.26,AI Training
1774800696.7365246,6.8,529.4,0.5,0.1,-0.26,AI Training
1774800696.7365503,6.9,521.7,0.5,0.1,-0.26,AI Training
1774800696.736575,7.0,514.3,0.5,0.1,-0.26,AI Training
1774800696.7365987,7.1,507.0,0.5,0.1,-0.26,AI Training
1774800696.7366233,7.2,500.0,0.5,0.1,-0.26,AI Training
1774800696.7366474,7.3,493.2,0.5,0.1,-0.26,AI Training
1774800696.7366772,7.4,486.5,0.5,0.1,-0.26,AI Training
1774800696.7367017,7.5,480.0,0.5,0.1,-0.26,AI Training
